"Min,Max,Modal Price from Karnataka[Soyabean] from 01-Jan-2008To31-Dec-2008 (Total-854) (Total-854)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Data
840,Haveri,Savanur,Soyabean,Other,FAQ,1987,2047,2042,4-Feb-08
308,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,5-Feb-08
492,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2010,2100,2010,5-Feb-08
623,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1715,1951,1861,5-Feb-08
491,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1800,2040,2000,6-Feb-08
564,Dharwad,Dharwar,Soyabean,Other,FAQ,1950,1950,1950,6-Feb-08
718,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,1960,2030,1990,6-Feb-08
797,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2012,2012,2012,6-Feb-08
852,Haveri,Shiggauv,Soyabean,Other,FAQ,1980,2000,1990,6-Feb-08
717,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2040,2105,2080,7-Feb-08
83,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,1990,2083,2070,8-Feb-08
490,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2023,2015,8-Feb-08
622,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,0,1809,1809,8-Feb-08
796,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,1990,1990,1990,8-Feb-08
489,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2025,2080,2050,9-Feb-08
621,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1001,2119,2025,9-Feb-08
307,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,11-Feb-08
795,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,1980,1980,1980,11-Feb-08
839,Haveri,Savanur,Soyabean,Other,FAQ,1953,2071,2012,11-Feb-08
306,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,12-Feb-08
488,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2051,2051,2051,12-Feb-08
305,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,13-Feb-08
487,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2060,2060,2060,13-Feb-08
620,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1709,1789,1789,13-Feb-08
716,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2010,2067,2040,13-Feb-08
794,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,1980,2000,1990,13-Feb-08
851,Haveri,Shiggauv,Soyabean,Other,FAQ,1950,2100,2071,13-Feb-08
304,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,14-Feb-08
486,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2050,2010,14-Feb-08
619,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,2000,2005,2001,14-Feb-08
838,Haveri,Savanur,Soyabean,Other,FAQ,1930,2089,2010,14-Feb-08
82,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,1900,2080,2060,15-Feb-08
303,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,15-Feb-08
485,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2000,2000,15-Feb-08
618,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1309,1975,1975,15-Feb-08
302,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,16-Feb-08
484,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2000,2000,16-Feb-08
512,Bidar,Bhalki,Soyabean,Soyabeen,FAQ,2061,2061,2061,16-Feb-08
715,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2050,2089,2089,16-Feb-08
742,Gadag,Laxmeshwar,Soyabean,Soyabeen,FAQ,1791,1791,1791,16-Feb-08
301,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,18-Feb-08
483,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2030,2000,18-Feb-08
714,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,1980,2020,2000,18-Feb-08
741,Gadag,Laxmeshwar,Soyabean,Soyabeen,FAQ,1659,1789,1700,18-Feb-08
793,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2000,2000,2000,18-Feb-08
837,Haveri,Savanur,Soyabean,Other,FAQ,1852,1890,1871,18-Feb-08
300,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,19-Feb-08
482,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2000,2000,19-Feb-08
740,Gadag,Laxmeshwar,Soyabean,Soyabeen,FAQ,1804,1804,1804,19-Feb-08
2,Bidar,Aurad,Soyabean,Soyabeen,FAQ,1800,1800,1800,20-Feb-08
299,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,20-Feb-08
481,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2201,2201,2201,20-Feb-08
713,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2010,2080,2060,20-Feb-08
850,Haveri,Shiggauv,Soyabean,Other,FAQ,2079,2079,2079,20-Feb-08
298,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,21-Feb-08
480,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2030,2050,2030,21-Feb-08
617,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,0,1951,1951,21-Feb-08
297,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,22-Feb-08
479,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2050,2200,2050,22-Feb-08
296,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,23-Feb-08
478,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2001,2051,2020,23-Feb-08
616,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,2021,2051,2051,23-Feb-08
295,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,25-Feb-08
477,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1400,1400,1400,25-Feb-08
615,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1511,2101,1919,25-Feb-08
294,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,26-Feb-08
476,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2140,2140,2140,26-Feb-08
712,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2090,2130,2110,26-Feb-08
293,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,27-Feb-08
711,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2040,2080,2060,27-Feb-08
736,Dharwad,Kundagol,Soyabean,Other,FAQ,2089,2089,2089,27-Feb-08
849,Haveri,Shiggauv,Soyabean,Other,FAQ,2000,2100,2075,27-Feb-08
292,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,28-Feb-08
475,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2080,2050,28-Feb-08
614,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1100,1311,1200,28-Feb-08
710,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2079,2182,2170,28-Feb-08
81,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2050,2183,2100,29-Feb-08
291,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,29-Feb-08
474,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2000,2000,29-Feb-08
792,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2200,2200,2200,29-Feb-08
290,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,1-Mar-08
473,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2100,2150,2100,1-Mar-08
563,Dharwad,Dharwar,Soyabean,Other,FAQ,2071,2071,2071,1-Mar-08
613,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,0,1250,1250,1-Mar-08
289,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,3-Mar-08
472,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2210,2210,2210,3-Mar-08
612,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,0,2989,2989,3-Mar-08
288,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,4-Mar-08
471,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2150,2231,2200,4-Mar-08
709,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2260,2300,2280,4-Mar-08
470,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2100,2151,2100,5-Mar-08
735,Dharwad,Kundagol,Soyabean,Other,FAQ,2176,2176,2176,5-Mar-08
848,Haveri,Shiggauv,Soyabean,Other,FAQ,2000,2200,2164,5-Mar-08
287,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,6-Mar-08
611,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,0,2101,2101,6-Mar-08
708,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2180,2210,2200,6-Mar-08
80,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2190,2307,2250,7-Mar-08
707,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2280,2320,2300,7-Mar-08
610,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,0,2001,2001,8-Mar-08
706,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2300,2320,2310,8-Mar-08
469,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2100,2200,2130,10-Mar-08
609,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1050,2109,1900,10-Mar-08
705,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2220,2260,2240,10-Mar-08
791,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2200,2200,2200,10-Mar-08
468,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2041,2041,2041,11-Mar-08
562,Dharwad,Dharwar,Soyabean,Other,FAQ,2001,2001,2001,11-Mar-08
608,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1250,2015,1911,11-Mar-08
704,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2300,2320,2310,11-Mar-08
790,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2262,2262,2262,11-Mar-08
467,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2100,2100,2100,12-Mar-08
703,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2180,2240,2220,12-Mar-08
734,Dharwad,Kundagol,Soyabean,Other,FAQ,2281,2281,2281,12-Mar-08
789,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2275,2275,2275,12-Mar-08
847,Haveri,Shiggauv,Soyabean,Other,FAQ,2240,2270,2264,12-Mar-08
466,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2050,2100,2080,13-Mar-08
788,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2275,2275,2275,13-Mar-08
79,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2130,2197,2180,14-Mar-08
465,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2080,2100,2080,14-Mar-08
561,Dharwad,Dharwar,Soyabean,Other,FAQ,2100,2100,2100,14-Mar-08
286,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,15-Mar-08
464,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2100,2050,15-Mar-08
560,Dharwad,Dharwar,Soyabean,Other,FAQ,2100,2100,2100,15-Mar-08
607,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1519,2050,2009,15-Mar-08
787,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2275,2275,2275,15-Mar-08
285,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,17-Mar-08
463,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2100,2160,2100,17-Mar-08
284,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,18-Mar-08
462,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2111,2150,2111,18-Mar-08
559,Dharwad,Dharwar,Soyabean,Other,FAQ,2001,2001,2001,18-Mar-08
606,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1901,2051,2021,18-Mar-08
283,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,19-Mar-08
461,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2050,2126,2050,19-Mar-08
733,Dharwad,Kundagol,Soyabean,Other,FAQ,2212,2212,2212,19-Mar-08
460,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2180,2180,2180,20-Mar-08
282,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,24-Mar-08
459,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2084,2000,24-Mar-08
558,Dharwad,Dharwar,Soyabean,Other,FAQ,1950,1950,1950,24-Mar-08
281,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,25-Mar-08
458,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1950,2150,1950,25-Mar-08
280,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,26-Mar-08
457,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2040,2040,2040,26-Mar-08
702,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2100,2140,2120,26-Mar-08
732,Dharwad,Kundagol,Soyabean,Other,FAQ,2142,2142,2142,26-Mar-08
279,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,27-Mar-08
456,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1300,2051,1350,27-Mar-08
78,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2080,2170,2100,28-Mar-08
278,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,28-Mar-08
455,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2110,2110,2110,28-Mar-08
277,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,29-Mar-08
276,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,31-Mar-08
454,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1700,2180,2100,31-Mar-08
275,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,1-Apr-08
453,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2100,2000,1-Apr-08
274,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,2-Apr-08
701,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2140,2160,2150,2-Apr-08
731,Dharwad,Kundagol,Soyabean,Other,FAQ,2123,2123,2123,2-Apr-08
273,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,3-Apr-08
77,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,1950,2158,2090,4-Apr-08
272,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,4-Apr-08
271,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,5-Apr-08
270,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,8-Apr-08
452,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2050,2100,2080,8-Apr-08
269,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,9-Apr-08
451,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2100,2050,9-Apr-08
700,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2080,2100,2090,9-Apr-08
730,Dharwad,Kundagol,Soyabean,Other,FAQ,2093,2093,2093,9-Apr-08
268,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,10-Apr-08
450,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1700,2001,1700,10-Apr-08
76,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2000,2093,2050,11-Apr-08
267,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,11-Apr-08
605,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,0,2069,2069,11-Apr-08
266,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,15-Apr-08
449,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1900,1900,1900,15-Apr-08
265,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,16-Apr-08
448,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2000,2000,2000,16-Apr-08
699,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2100,2120,2110,16-Apr-08
264,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,17-Apr-08
604,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,1911,2051,2051,17-Apr-08
75,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2000,2153,2120,18-Apr-08
698,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2220,2260,2240,18-Apr-08
263,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,19-Apr-08
447,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1900,2000,1950,19-Apr-08
262,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,21-Apr-08
786,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,1975,2200,2087,21-Apr-08
261,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,22-Apr-08
446,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1900,1900,1900,22-Apr-08
260,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,23-Apr-08
445,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1900,1900,1900,23-Apr-08
697,Dharwad,Kalagategi,Soyabean,Soyabeen,FAQ,2110,2140,2120,23-Apr-08
729,Dharwad,Kundagol,Soyabean,Other,FAQ,2156,2156,2156,23-Apr-08
785,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2200,2200,2200,23-Apr-08
259,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,24-Apr-08
444,Bidar,Basava Kalayana,Soyabean,Other,FAQ,2100,2100,2100,24-Apr-08
603,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,0,2009,2009,24-Apr-08
755,Belgaum,Nippani,Soyabean,Soyabeen,FAQ,1800,2000,1900,24-Apr-08
74,Belgaum,Bailahongal,Soyabean,Soyabeen,FAQ,2120,2413,2140,25-Apr-08
258,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,25-Apr-08
443,Bidar,Basava Kalayana,Soyabean,Other,FAQ,1800,1800,1800,25-Apr-08
257,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,26-Apr-08
602,Dharwad,Hubli (Amaragol),Soyabean,Soyabeen,FAQ,0,2051,2051,26-Apr-08
754,Belgaum,Nippani,Soyabean,Soyabeen,FAQ,2000,2300,2240,26-Apr-08
256,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,28-Apr-08
784,Belgaum,Sankeshwar,Soyabean,Soyabeen,FAQ,2150,2150,2150,28-Apr-08
255,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,29-Apr-08
254,Bangalore,Bangalore,Soyabean,Other,FAQ,2200,2400,2300,30-Apr-08
728,Dharwad,Kundagol,Soyabean,Other,FAQ,2152,2152,2152,30-Apr-08
753,Belgaum,Nippani,Soyabean,Soyabeen,FAQ,1900,2100,2040,30-Apr-08
